.model,term,estimate,std.error,statistic,p.value
Regression,(Intercept),-92.01544479954188,47.72592642462146,-1.9279970383575786,0.054501640308671655
Regression,total_starts_lag6,-0.08368141857343148,0.024598306413459996,-3.4019178868201134,7.305816482401069e-4
Regression,total_comps_lag3,0.17355695691650502,0.03153189557706941,5.504171371248575,6.326124776580573e-8
Regression,vacancy_rt_lag6,-28.11047314264198,3.2885080640343434,-8.548093115561965,2.104952086422518e-16
Regression,trs10yr_rt_lag12,-19.308895827405692,4.69943630503299,-4.10876849351619,4.748602054891558e-5
Regression,frm30yr_rt_lag3,12.138977325005577,4.1014964822688285,2.9596459188697506,0.003247031334109926
Regression,ppi_lag3,2.5122988522740535,0.11543750758842306,21.763280451543686,1.0085719922890411e-71
Regression,hmi_lag24,2.737423657024204,0.3613120220861035,7.576342578415103,2.1331559546355268e-13
Pure ar(1),ar1,0.5473722167669909,0.03888179381124116,14.077854006024266,8.544478522240209e-38
Pure ar(1),month_1,0.13756543311774289,1.0150563597413802,0.13552492115097167,0.8922550084587226
Pure ar(1),month_2,0.19289163726673186,1.6711738990971645,0.1154228398199252,0.9081593774822807
Pure ar(1),month_3,0.06268316915714219,2.148503113988952,0.029175274985179526,0.9767372110823143
Pure ar(1),month_4,0.4767370148289001,2.4745983320687976,0.19265228164537776,0.8473146899997657
Pure ar(1),month_5,0.4114937419535194,2.6653170446831598,0.1543882904190994,0.8773699996065512
Pure ar(1),month_6,0.12242463276268203,2.729687645778611,0.04484931928091057,0.9642465024964046
Pure ar(1),month_7,0.15740331393813287,2.670514088236736,0.058941203355366595,0.9530240446310303
Pure ar(1),month_8,-0.5962459137078996,2.484323989487285,-0.2400032830786104,0.8104325732723752
Pure ar(1),month_9,-0.323513851839528,2.1607854606036336,-0.14972048717374825,0.881049506114995
Pure ar(1),month_10,-0.36241876108495963,1.6813701305725848,-0.2155496606577275,0.8294325045693929
Pure ar(1),month_11,0.20257201249830156,1.0162877825315262,0.19932544302924118,0.8420945639449807
Pure ar(1),intercept,1.0443193298476066,0.6385968913457377,1.6353341896902687,0.1026499348620673
ar(1) + All Factors,ar1,0.5955669403947611,0.039562205307609,15.053936851195092,1.0876561447511186e-41
ar(1) + All Factors,total_starts_lag6,5.397314653381889e-4,0.0021391584154213444,0.25231018958073725,0.8009178073535175
ar(1) + All Factors,total_comps_lag3,7.627701449211428e-4,0.002581570431501204,0.2954674935897781,0.7677745942513081
ar(1) + All Factors,vacancy_rt_lag6,3.172557464048348,1.46154941880621,2.170680938479443,0.030483328906822947
