date,mf_underway,total_starts,total_comps,vacancy_rt,trs10yr_rt,frm30yr_rt,ppi,hmi,cast_desc,hmi_lag24,target_yoy,total_starts_lag6,total_comps_lag3,vacancy_rt_lag6,trs10yr_rt_lag12,frm30yr_rt_lag3,ppi_lag3,.model
2004 Dec,351,2042,1921,10,4.24,5.81,166.3,71,actual,63,346,1828,1796,10.2,4.27,5.72,167.2,NA
2005 Jan,360,2144,1892,10.1,4.14,5.66,168.6,70,actual,62,348,2002,1839,10.1,4.16,5.64,165.9,NA
2005 Feb,367,2207,1908,10.1,4.36,5.69,170.4,69,actual,63,354,2024,1758,10.1,3.99,5.72,165.5,NA
2005 Mar,366,1864,1787,10.1,4.5,6.04,170,70,actual,56,356,1905,1921,10.1,3.86,5.81,166.3,NA
2005 Apr,374,2061,1927,9.8,4.21,5.78,170,67,actual,55,358,2072,1892,10,4.53,5.66,168.6,NA
2005 May,372,2025,2103,9.8,4,5.65,168.1,70,actual,60,351,1782,1908,10,4.66,5.69,170.4,NA
2005 Jun,377,2068,1965,9.8,3.94,5.53,167.8,72,actual,63,346,2042,1787,10,4.62,6.04,170,NA
2005 Jul,380,2054,1886,9.9,4.28,5.77,167.2,70,actual,65,357,2144,1927,10.1,4.5,5.78,170,NA
2005 Aug,387,2095,1952,9.9,4.02,5.77,165.9,67,actual,67,336,2207,2103,10.1,4.13,5.65,168.1,NA
2005 Sep,393,2151,1922,9.9,4.34,5.91,168.9,65,actual,67,341,1864,1965,10.1,4.14,5.53,167.8,NA
2005 Oct,384,2065,1962,9.6,4.57,6.15,171.6,68,actual,69,348,2061,1886,9.8,4.05,5.77,167.2,NA
2005 Nov,386,2147,1907,9.6,4.49,6.28,172.7,61,actual,68,347,2025,1952,9.8,4.36,5.77,165.9,NA
2005 Dec,394,1994,1941,9.6,4.39,6.22,173.5,57,actual,69,351,2068,1922,9.8,4.24,5.91,168.9,NA
2006 Jan,402,2273,2036,9.5,4.53,6.12,177.2,57,actual,68,360,2054,1962,9.9,4.14,6.15,171.6,NA
2006 Feb,402,2119,2048,9.5,4.55,6.26,177.7,56,actual,66,367,2095,1907,9.9,4.36,6.28,172.7,NA
2006 Mar,410,1969,2245,9.5,4.86,6.35,178.3,54,actual,66,366,2151,1941,9.9,4.5,6.22,173.5,NA
2006 Apr,407,1821,2071,9.6,5.07,6.58,179,51,actual,69,374,2065,2036,9.6,4.21,6.12,177.2,NA
2006 May,416,1942,1897,9.6,5.12,6.62,179.9,46,actual,69,372,2147,2048,9.6,4,6.26,177.7,NA
2006 Jun,415,1802,2050,9.6,5.15,6.78,180.7,42,actual,68,377,1994,2245,9.6,3.94,6.35,178.3,NA
2006 Jul,411,1737,1934,9.9,4.99,6.72,182.3,39,actual,67,380,2273,2071,9.5,4.28,6.58,179,NA
2006 Aug,411,1650,1877,9.9,4.74,6.44,182.6,33,actual,70,387,2119,1897,9.5,4.02,6.62,179.9,NA
2006 Sep,413,1720,2011,9.9,4.64,6.31,183.3,30,actual,67,393,1969,2050,9.5,4.34,6.78,180.7,NA
2006 Oct,407,1491,1918,9.8,4.61,6.4,182.3,31,actual,69,384,1821,1934,9.6,4.57,6.72,182.3,NA
2006 Nov,407,1570,1893,9.8,4.46,6.14,179.8,33,actual,70,386,1942,1877,9.6,4.49,6.44,182.6,NA
2006 Dec,407,1649,1888,9.8,4.71,6.18,179.8,33,actual,71,394,1802,2011,9.6,4.39,6.31,183.3,NA
2007 Jan,405,1409,1822,10.1,4.83,6.25,181.1,35,actual,70,402,1737,1918,9.9,4.53,6.4,182.3,NA
2007 Feb,404,1480,1640,10.1,4.56,6.22,181.5,39,actual,69,402,1650,1893,9.9,4.55,6.14,179.8,NA
2007 Mar,402,1495,1623,10.1,4.65,6.16,182.5,36,actual,70,410,1720,1888,9.9,4.86,6.18,179.8,NA
2007 Apr,402,1490,1539,9.5,4.63,6.16,183.7,33,actual,67,407,1491,1822,9.8,5.07,6.25,181.1,NA
2007 May,403,1415,1536,9.5,4.9,6.42,184,30,actual,70,416,1570,1640,9.8,5.12,6.22,181.5,NA
2007 Jun,408,1448,1481,9.5,5.03,6.67,184,28,actual,72,415,1649,1623,9.8,5.15,6.16,182.5,NA
2007 Jul,404,1354,1534,9.8,4.78,6.69,184.2,24,actual,70,411,1409,1539,10.1,4.99,6.16,183.7,NA
2007 Aug,410,1330,1512,9.8,4.54,6.45,183.9,22,actual,67,411,1480,1536,10.1,4.74,6.42,184,NA
2007 Sep,410,1183,1356,9.8,4.59,6.42,183.4,20,actual,65,413,1495,1481,10.1,4.64,6.67,184,NA
2007 Oct,415,1264,1405,9.6,4.48,6.33,183,19,actual,68,407,1490,1534,9.5,4.61,6.69,184.2,NA
2007 Nov,425,1197,1390,9.6,3.97,6.1,183.3,19,actual,61,407,1415,1512,9.5,4.46,6.45,183.9,NA
2007 Dec,418,1037,1328,9.6,4.04,6.17,183.5,18,actual,57,407,1448,1356,9.5,4.71,6.42,183.4,NA
2008 Jan,420,1084,1331,10.1,3.67,5.68,184.3,19,actual,57,405,1354,1405,9.8,4.83,6.33,183,NA
2008 Feb,419,1103,1274,10.1,3.53,6.24,185.7,20,actual,56,404,1330,1390,9.8,4.56,6.1,183.3,NA
2008 Mar,424,1005,1195,10.1,3.45,5.85,187.8,20,actual,54,402,1183,1328,9.8,4.65,6.17,183.5,NA
2008 Apr,430,1013,1022,10,3.77,6.03,190.9,20,actual,51,402,1264,1331,9.6,4.63,5.68,184.3,NA
2008 May,434,973,1142,10,4.06,6.08,195.8,19,actual,46,403,1197,1274,9.6,4.9,6.24,185.7,NA
2008 Jun,440,1046,1142,10,3.99,6.45,200.4,18,actual,42,408,1037,1195,9.6,5.03,5.85,187.8,NA
2008 Jul,442,923,1087,9.9,3.99,6.52,203.4,16,actual,39,404,1084,1022,10.1,4.78,6.03,190.9,NA
2008 Aug,435,844,1017,9.9,3.83,6.4,206.5,16,actual,33,410,1103,1142,10.1,4.54,6.08,195.8,NA
2008 Sep,427,820,1160,9.9,3.85,6.09,206.3,17,actual,30,410,1005,1142,10.1,4.59,6.45,200.4,NA
2008 Oct,419,777,1055,10.1,4.01,6.46,201.8,14,actual,31,415,1013,1087,10,4.48,6.52,203.4,NA
2008 Nov,406,652,1076,10.1,2.93,5.97,199.6,9,actual,33,425,973,1017,10,3.97,6.4,206.5,NA
2008 Dec,391,560,1021,10.1,2.25,5.1,194.8,9,actual,33,418,1046,1160,10,4.04,6.09,206.3,NA
2009 Jan,382,490,777,10.1,2.87,5.1,193.3,8,actual,35,420,923,1055,9.9,3.67,6.46,201.8,NA
2009 Feb,372,582,819,10.1,3.02,5.07,191.2,9,actual,39,419,844,1076,9.9,3.53,5.97,199.6,NA
2009 Mar,354,505,839,10.1,2.71,4.85,190.2,9,actual,36,424,820,1021,9.9,3.45,5.1,194.8,NA
2009 Apr,332,478,846,10.6,3.16,4.78,188.1,14,actual,33,430,777,777,10.1,3.77,5.1,193.3,NA
2009 May,317,540,818,10.6,3.47,4.91,186.9,16,actual,30,434,652,819,10.1,4.06,5.07,191.2,NA
2009 Jun,296,585,797,10.6,3.53,5.42,187.1,15,actual,28,440,560,839,10.1,3.99,4.85,190.2,NA
2009 Jul,278,594,797,11.1,3.52,5.25,187.6,17,actual,24,442,490,846,10.1,3.99,4.78,188.1,NA
2009 Aug,262,586,792,11.1,3.4,5.14,188.1,18,actual,22,435,582,818,10.1,3.83,4.91,186.9,NA
2009 Sep,248,585,721,11.1,3.31,5.04,189.3,19,actual,20,427,505,797,10.1,3.85,5.42,187.1,NA
2009 Oct,232,534,746,10.7,3.41,5.03,189.7,17,actual,19,419,478,797,10.6,4.01,5.25,187.6,NA
2009 Nov,218,588,844,10.7,3.21,4.78,189.2,17,actual,19,406,540,792,10.6,2.93,5.14,188.1,NA
2009 Dec,205,581,750,10.7,3.85,5.14,189.4,16,actual,18,391,585,721,10.6,2.25,5.04,189.3,NA
2010 Jan,191,614,689,10.6,3.63,4.98,190.3,15,actual,19,382,594,746,11.1,2.87,5.03,189.7,NA
2010 Feb,180,604,670,10.6,3.61,5.05,192.2,17,actual,20,372,586,844,11.1,3.02,4.78,189.2,NA
2010 Mar,175,636,635,10.6,3.84,4.99,193.7,15,actual,20,354,585,750,11.1,2.71,5.14,189.4,NA
2010 Apr,171,687,737,10.6,3.69,5.06,196.5,19,actual,20,332,534,689,10.7,3.16,4.98,190.3,NA
2010 May,164,583,702,10.6,3.31,4.78,198.9,22,actual,19,317,588,670,10.7,3.47,5.05,192.2,NA
2010 Jun,155,536,894,10.6,2.97,4.69,197.2,16,actual,18,296,581,635,10.7,3.53,4.99,193.7,NA
2010 Jul,155,546,572,10.3,2.94,4.54,195.6,14,actual,16,278,614,737,10.6,3.52,5.06,196.5,NA
2010 Aug,160,599,592,10.3,2.47,4.36,194.1,13,actual,16,262,604,702,10.6,3.4,4.78,198.9,NA
2010 Sep,159,594,632,10.3,2.53,4.32,193.9,13,actual,17,248,636,894,10.6,3.31,4.69,197.2,NA
2010 Oct,160,543,605,9.4,2.63,4.23,193.8,15,actual,14,232,687,572,10.6,3.41,4.54,195.6,NA
2010 Nov,154,545,552,9.4,2.81,4.4,193.6,16,actual,9,218,583,592,10.6,3.21,4.36,194.1,NA
2010 Dec,154,539,565,9.4,3.3,4.86,194.2,16,actual,9,205,536,632,10.6,3.85,4.32,193.9,NA
2011 Jan,160,630,520,9.7,3.42,4.8,195.9,16,actual,8,191,546,605,10.3,3.63,4.23,193.8,NA
2011 Feb,160,517,615,9.7,3.42,4.95,198.1,16,actual,9,180,599,552,10.3,3.61,4.4,193.6,NA
2011 Mar,155,600,591,9.7,3.47,4.86,199.7,17,actual,9,175,594,565,10.3,3.84,4.86,194.2,NA
2011 Apr,157,554,549,9.2,3.32,4.78,201.1,16,actual,14,171,543,520,9.4,3.69,4.8,195.9,NA
2011 May,158,561,549,9.2,3.05,4.6,201.6,16,actual,16,164,545,615,9.4,3.31,4.95,198.1,NA
2011 Jun,160,608,579,9.2,3.18,4.51,201.9,13,actual,15,155,539,591,9.4,2.97,4.86,199.7,NA
2011 Jul,165,623,634,9.8,2.82,4.55,202.6,15,actual,17,155,630,549,9.7,2.94,4.78,201.1,NA
2011 Aug,166,585,614,9.8,2.23,4.22,202.8,15,actual,18,160,517,549,9.7,2.47,4.6,201.6,NA
2011 Sep,171,650,603,9.8,1.92,4.01,202.7,14,actual,19,159,600,579,9.7,2.53,4.51,201.9,NA
2011 Oct,177,610,566,9.4,2.17,4.1,202.7,17,actual,17,160,554,634,9.2,2.63,4.55,202.6,NA
2011 Nov,187,711,585,9.4,2.08,3.98,202.2,19,actual,17,154,561,614,9.2,2.81,4.22,202.8,NA
2011 Dec,188,694,610,9.4,1.89,3.95,202.2,21,actual,16,154,608,603,9.2,3.3,4.01,202.7,NA
2012 Jan,190,723,545,8.8,1.83,3.98,203.9,25,actual,15,160,623,566,9.8,3.42,4.1,202.7,NA
2012 Feb,194,704,561,8.8,1.98,3.95,205.1,28,actual,17,160,585,585,9.8,3.42,3.98,202.2,NA
2012 Mar,202,695,582,8.8,2.23,3.99,205.7,28,actual,15,155,650,610,9.8,3.47,3.95,202.2,NA
2012 Apr,207,753,671,8.6,1.95,3.88,206.3,24,actual,19,157,610,545,9.4,3.32,3.98,203.9,NA
2012 May,211,708,626,8.6,1.59,3.75,206.5,28,actual,22,158,711,561,9.4,3.05,3.95,205.1,NA
2012 Jun,220,757,625,8.6,1.67,3.66,206.6,29,actual,16,160,694,582,9.4,3.18,3.99,205.7,NA
2012 Jul,219,740,676,8.6,1.51,3.49,206.2,35,actual,14,165,723,671,8.8,2.82,3.88,206.3,NA
2012 Aug,222,754,684,8.6,1.57,3.59,205.5,37,actual,13,166,704,626,8.8,2.23,3.75,206.5,NA
2012 Sep,232,847,652,8.6,1.65,3.4,206.6,40,actual,13,171,695,625,8.8,1.92,3.66,206.6,NA
2012 Oct,236,915,730,8.7,1.72,3.41,205.5,41,actual,15,177,753,676,8.6,2.17,3.49,206.2,NA
2012 Nov,246,833,668,8.7,1.62,3.32,205.6,45,actual,16,187,708,684,8.6,2.08,3.59,205.5,NA
2012 Dec,258,976,677,8.7,1.78,3.35,206.4,47,actual,16,188,757,652,8.6,1.89,3.4,206.6,NA
2013 Jan,265,888,714,8.6,2.02,3.53,208.4,47,actual,16,190,740,730,8.6,1.83,3.41,205.5,NA
2013 Feb,280,962,729,8.6,1.89,3.51,209.1,46,actual,16,194,754,668,8.6,1.98,3.32,205.6,NA
2013 Mar,290,1010,816,8.6,1.87,3.57,209.8,44,actual,17,202,847,677,8.6,2.23,3.35,206.4,NA
2013 Apr,293,835,712,8.2,1.7,3.4,210.7,41,actual,16,207,915,714,8.7,1.95,3.53,208.4,NA
2013 May,303,930,708,8.2,2.16,3.81,209.5,44,actual,16,211,833,729,8.7,1.59,3.51,209.1,NA
2013 Jun,305,839,736,8.2,2.52,4.46,208.8,51,actual,13,220,976,816,8.7,1.67,3.57,209.8,NA
2013 Jul,311,880,784,8.3,2.6,4.31,208.3,56,actual,15,219,888,712,8.6,1.51,3.4,210.7,NA
2013 Aug,321,917,765,8.3,2.78,4.51,208.9,58,actual,15,222,962,708,8.6,1.57,3.81,209.5,NA
2013 Sep,327,850,776,8.3,2.64,4.32,208.9,57,actual,14,232,1010,736,8.6,1.65,4.46,208.8,NA
2013 Oct,337,925,801,8.2,2.57,4.1,209.3,54,actual,17,236,835,784,8.2,1.72,4.31,208.3,NA
2013 Nov,350,1100,839,8.2,2.75,4.29,209.8,54,actual,19,246,930,765,8.2,1.62,4.51,208.9,NA
2013 Dec,362,1002,778,8.2,3.04,4.48,209.8,57,actual,21,258,839,776,8.2,1.78,4.32,208.9,NA
2014 Jan,368,888,838,8.3,2.67,4.32,211.7,56,actual,25,265,880,801,8.3,2.02,4.1,209.3,NA
2014 Feb,370,944,876,8.3,2.66,4.37,212.7,46,actual,28,280,917,839,8.3,1.89,4.29,209.8,NA
2014 Mar,379,970,893,8.3,2.73,4.4,213.4,46,actual,28,290,850,778,8.3,1.87,4.48,209.8,NA
2014 Apr,392,1043,834,7.5,2.67,4.33,213.6,46,actual,24,293,925,838,8.2,1.7,4.32,211.7,NA
2014 May,403,1007,891,7.5,2.48,4.12,214.3,45,actual,28,303,1100,876,8.2,2.16,4.37,212.7,NA
2014 Jun,416,911,800,7.5,2.53,4.14,214.5,49,actual,29,305,1002,893,8.2,2.52,4.4,213.4,NA
2014 Jul,434,1085,839,7.4,2.58,4.12,214.8,53,actual,35,311,888,834,8.3,2.6,4.33,213.6,NA
2014 Aug,433,984,908,7.4,2.35,4.1,215.5,55,actual,37,321,944,891,8.3,2.78,4.12,214.3,NA
2014 Sep,435,1023,975,7.4,2.52,4.2,215.7,59,actual,40,327,970,800,8.3,2.64,4.14,214.5,NA
2014 Oct,438,1074,920,7,2.35,3.98,215.9,54,actual,41,337,1043,839,7.5,2.57,4.12,214.8,NA
2014 Nov,445,1001,863,7,2.18,3.97,215.8,58,actual,45,350,1007,908,7.5,2.75,4.1,215.5,NA
2014 Dec,453,1073,955,7,2.17,3.87,215.5,58,actual,47,362,911,975,7.5,3.04,4.2,215.7,NA
2015 Jan,456,1085,954,7.1,1.68,3.66,215.8,57,actual,47,368,1085,920,7.4,2.67,3.98,215.9,NA
2015 Feb,462,886,863,7.1,2,3.8,215.3,55,actual,46,370,984,863,7.4,2.66,3.97,215.8,NA
2015 Mar,471,960,781,7.1,1.94,3.69,215,52,actual,44,379,1023,955,7.4,2.73,3.87,215.5,NA
2015 Apr,489,1190,1001,6.8,2.05,3.68,214.5,56,actual,41,392,1074,954,7,2.67,3.66,215.8,NA
2015 May,495,1079,1012,6.8,2.12,3.87,213.7,54,actual,44,403,1001,863,7,2.48,3.8,215.3,NA
2015 Jun,507,1205,962,6.8,2.35,4.02,213.7,60,actual,51,416,1073,781,7,2.53,3.69,215,NA
2015 Jul,509,1146,988,7.3,2.2,3.98,213.7,60,actual,56,434,1085,1001,7.1,2.58,3.68,214.5,NA
2015 Aug,514,1130,974,7.3,2.21,3.84,213.3,61,actual,58,433,886,1012,7.1,2.35,3.87,213.7,NA
2015 Sep,526,1224,1040,7.3,2.06,3.86,212.5,61,actual,57,435,960,962,7.1,2.52,4.02,213.7,NA
2015 Oct,528,1058,985,7,2.16,3.76,212.4,65,actual,54,438,1190,988,6.8,2.35,3.98,213.7,NA
2015 Nov,538,1172,1000,7,2.21,3.95,211.7,62,actual,54,445,1079,974,6.8,2.18,3.84,213.3,NA
2015 Dec,545,1146,1023,7,2.27,4.01,210.9,60,actual,57,453,1205,1040,6.8,2.17,3.86,212.5,NA
2016 Jan,540,1092,1056,7,1.94,3.79,211.4,61,actual,56,456,1146,985,7.3,1.68,3.76,212.4,NA
2016 Feb,547,1225,1037,7,1.74,3.62,211.3,58,actual,46,462,1130,1000,7.3,2,3.95,211.7,NA
2016 Mar,551,1111,1003,7,1.78,3.71,211.6,58,actual,46,471,1224,1023,7.3,1.94,4.01,210.9,NA
2016 Apr,557,1163,945,6.7,1.83,3.66,212.7,58,actual,46,489,1058,1056,7,2.05,3.79,211.4,NA
2016 May,570,1148,1000,6.7,1.84,3.64,213.7,58,actual,45,495,1172,1037,7,2.12,3.62,211.3,NA
2016 Jun,574,1203,1109,6.7,1.49,3.48,214.6,60,actual,49,507,1146,1003,7,2.35,3.71,211.6,NA
2016 Jul,590,1239,1072,6.8,1.46,3.48,215.3,58,actual,53,509,1092,945,7,2.2,3.66,212.7,NA
2016 Aug,596,1171,1054,6.8,1.58,3.43,216,59,actual,55,514,1225,1000,7,2.21,3.64,213.7,NA
2016 Sep,593,1068,1035,6.8,1.6,3.42,215.3,65,actual,59,526,1111,1109,7,2.06,3.48,214.6,NA
2016 Oct,599,1313,1070,6.9,1.84,3.47,214.8,63,actual,54,528,1163,1072,6.7,2.16,3.48,215.3,NA
2016 Nov,588,1140,1244,6.9,2.37,4.03,214.5,63,actual,58,538,1148,1054,6.7,2.21,3.43,216,NA
2016 Dec,602,1252,1101,6.9,2.45,4.32,215.5,69,actual,58,545,1203,1035,6.7,2.27,3.42,215.3,NA
2017 Jan,610,1190,1081,7,2.45,4.19,217.3,67,actual,57,540,1239,1070,6.8,1.94,3.47,214.8,NA
2017 Feb,611,1271,1148,7,2.36,4.16,218.8,65,actual,55,547,1171,1244,6.8,1.74,4.03,214.5,NA
2017 Mar,609,1190,1147,7,2.4,4.14,219.7,71,actual,52,551,1068,1101,6.8,1.78,4.32,215.5,NA
2017 Apr,607,1146,1069,7.3,2.29,4.03,221,68,actual,56,557,1313,1081,6.9,1.83,4.19,217.3,NA
2017 May,600,1157,1170,7.3,2.21,3.95,221.7,69,actual,54,570,1140,1148,6.9,1.84,4.16,218.8,NA
2017 Jun,598,1249,1236,7.3,2.31,3.88,221.9,66,actual,60,574,1252,1147,6.9,1.49,4.14,219.7,NA
2017 Jul,600,1206,1173,7.5,2.3,3.92,221.9,64,actual,60,590,1190,1069,7,1.46,4.03,221,NA
2017 Aug,596,1159,1107,7.5,2.12,3.82,222.4,67,actual,61,596,1271,1170,7,1.58,3.95,221.7,NA
2017 Sep,601,1181,1113,7.5,2.33,3.83,223.1,64,actual,61,593,1190,1236,7,1.6,3.88,221.9,NA
2017 Oct,603,1257,1196,6.9,2.38,3.94,223.9,68,actual,65,599,1146,1173,7.3,1.84,3.92,221.9,NA
2017 Nov,601,1273,1182,6.9,2.42,3.9,223.9,69,actual,62,588,1157,1107,7.3,2.37,3.82,222.4,NA
2017 Dec,598,1177,1200,6.9,2.4,3.99,224.1,74,actual,60,602,1249,1113,7.3,2.45,3.83,223.1,NA
2018 Jan,601,1299,1208,7,2.72,4.15,225.8,72,actual,61,610,1206,1196,7.5,2.45,3.94,223.9,NA
2018 Feb,602,1277,1288,7,2.87,4.4,228.7,71,actual,58,611,1159,1182,7.5,2.36,3.9,223.9,NA
2018 Mar,606,1318,1181,7,2.74,4.44,231.3,70,actual,58,609,1181,1200,7.5,2.4,3.99,224.1,NA
2018 Apr,597,1276,1224,6.8,2.95,4.58,232.4,68,actual,58,607,1257,1208,6.9,2.29,4.15,225.8,NA
2018 May,596,1357,1262,6.8,2.83,4.56,236.8,70,actual,58,600,1273,1288,6.9,2.21,4.4,228.7,NA
2018 Jun,590,1192,1212,6.8,2.85,4.55,239.2,68,actual,60,598,1177,1181,6.9,2.31,4.44,231.3,NA
2018 Jul,587,1208,1150,7.1,2.96,4.54,239.6,68,actual,58,600,1299,1224,7,2.3,4.58,232.4,NA
2018 Aug,590,1288,1262,7.1,2.86,4.52,239.4,67,actual,59,596,1277,1262,7,2.12,4.56,236.8,NA
2018 Sep,596,1250,1187,7.1,3.05,4.72,240,67,actual,65,601,1318,1212,7,2.33,4.55,239.2,NA
2018 Oct,599,1221,1122,6.6,3.15,4.86,238.7,68,actual,63,603,1276,1150,6.8,2.38,4.54,239.6,NA
2018 Nov,602,1181,1131,6.6,3.01,4.81,238.8,60,actual,63,601,1357,1262,6.8,2.42,4.52,239.4,NA
2018 Dec,602,1095,1053,6.6,2.69,4.55,238.3,56,actual,69,598,1192,1187,6.8,2.4,4.72,240,NA
2019 Jan,602,1226,1247,7,2.63,4.46,238.5,58,actual,67,601,1208,1122,7.1,2.72,4.86,238.7,NA
2019 Feb,594,1121,1304,7,2.73,4.35,238.1,62,actual,65,602,1288,1131,7.1,2.87,4.81,238.8,NA
2019 Mar,586,1191,1313,7,2.41,4.06,238.1,62,actual,71,606,1250,1053,7.1,2.74,4.55,238.3,NA
2019 Apr,584,1272,1308,6.8,2.51,4.2,237.2,63,actual,68,597,1221,1247,6.6,2.95,4.46,238.5,NA
2019 May,595,1293,1221,6.8,2.14,3.99,237.3,66,actual,69,596,1181,1304,6.6,2.83,4.35,238.1,NA
2019 Jun,606,1243,1178,6.8,2,3.73,236.3,64,actual,66,590,1095,1313,6.6,2.85,4.06,238.1,NA
2019 Jul,609,1240,1215,6.8,2.02,3.75,235.6,65,actual,64,587,1226,1308,7,2.96,4.2,237.2,NA
2019 Aug,617,1375,1313,6.8,1.5,3.58,234.4,67,actual,67,590,1121,1221,7,2.86,3.99,237.3,NA
2019 Sep,624,1311,1154,6.8,1.68,3.64,234.4,68,actual,64,596,1191,1178,7,3.05,3.73,236.3,NA
2019 Oct,626,1325,1289,6.4,1.69,3.78,233.8,71,actual,68,599,1272,1215,6.8,3.15,3.75,235.6,NA
2019 Nov,636,1353,1266,6.4,1.78,3.68,232.8,71,actual,69,602,1293,1313,6.8,3.01,3.58,234.4,NA
2019 Dec,645,1548,1308,6.4,1.92,3.74,232.2,76,actual,74,602,1243,1154,6.8,2.69,3.64,234.4,NA
2020 Jan,657,1581,1308,6.6,1.51,3.51,233.4,75,actual,72,602,1240,1289,6.8,2.63,3.78,233.8,NA
2020 Feb,671,1549,1237,6.6,1.13,3.45,234.6,74,actual,71,594,1375,1266,6.8,2.73,3.68,232.8,NA
2020 Mar,671,1266,1237,6.6,0.7,3.5,236.3,72,actual,70,586,1311,1308,6.8,2.41,3.74,232.2,NA
2020 Apr,666,936,1181,5.7,0.64,3.23,234.3,30,actual,68,584,1325,1308,6.4,2.51,3.51,233.4,NA
2020 May,657,1039,1174,5.7,0.65,3.15,233.3,37,actual,70,595,1353,1237,6.4,2.14,3.45,234.6,NA
2020 Jun,660,1266,1229,5.7,0.66,3.13,234.8,58,actual,68,606,1548,1237,6.4,2,3.5,236.3,NA
2020 Jul,672,1526,1309,6.4,0.55,2.99,237,72,actual,68,609,1581,1181,6.6,2.02,3.23,234.3,NA
2020 Aug,671,1396,1263,6.4,0.72,2.91,240.9,78,actual,67,617,1549,1174,6.6,1.5,3.15,233.3,NA
2020 Sep,661,1473,1437,6.4,0.69,2.9,246.9,83,actual,67,624,1266,1229,6.6,1.68,3.13,234.8,NA
2020 Oct,649,1543,1395,6.5,0.88,2.81,246.4,85,actual,68,626,936,1309,5.7,1.69,2.99,237,NA
2020 Nov,652,1543,1261,6.5,0.84,2.72,244.3,90,actual,60,636,1039,1263,5.7,1.78,2.91,240.9,NA
2020 Dec,645,1614,1374,6.5,0.93,2.67,248,86,actual,56,645,1266,1437,5.7,1.92,2.9,246.9,NA
2021 Jan,656,1630,1379,6.8,1.11,2.73,256.4,83,actual,58,657,1526,1395,6.4,1.51,2.81,246.4,NA
2021 Feb,656,1404,1299,6.8,1.44,2.97,264.6,84,actual,62,671,1396,1261,6.4,1.13,2.72,244.3,NA
2021 Mar,658,1696,1435,6.8,1.74,3.17,276.7,82,actual,62,671,1473,1374,6.4,0.7,2.67,248,NA
2021 Apr,665,1495,1403,6.2,1.65,2.98,291.8,83,actual,63,666,1543,1379,6.5,0.64,2.73,256.4,NA
2021 May,670,1589,1337,6.2,1.58,2.95,305.9,83,actual,66,657,1543,1299,6.5,0.65,2.97,264.6,NA
2021 Jun,679,1650,1280,6.2,1.45,3.02,315.7,81,actual,64,660,1614,1435,6.5,0.66,3.17,276.7,NA
2021 Jul,677,1597,1365,5.8,1.24,2.8,313.542,80,actual,65,672,1630,1403,6.8,0.55,2.98,291.8,NA
2021 Aug,686,1594,1329,5.8,1.3,2.87,313.083,75,actual,67,671,1404,1337,6.8,0.72,2.95,305.9,NA
2021 Sep,703,1577,1232,5.8,1.52,3.01,317.136,76,actual,68,661,1696,1280,6.8,0.69,3.02,315.7,NA
2021 Oct,718,1579,1300,5.6,1.55,3.14,322.12,80,actual,71,649,1495,1365,6.2,0.88,2.8,313.542,NA
2021 Nov,725,1705,1397,5.6,1.43,3.1,328.94,83,actual,71,652,1589,1329,6.2,0.84,2.87,313.083,NA
2021 Dec,742,1722,1331,5.6,1.52,3.11,335.032,84,actual,76,645,1650,1232,6.2,0.93,3.01,317.136,NA
2022 Jan,751,1702,1285,5.8,1.79,3.55,345.742,83,actual,75,656,1597,1300,5.8,1.11,3.14,322.12,NA
2022 Feb,769,1735,1342,5.8,1.83,3.89,343.583,81,actual,74,656,1594,1397,5.8,1.44,3.1,328.94,NA
2022 Mar,805,1712,1328,5.8,2.32,4.67,345.852,79,actual,72,658,1577,1331,5.8,1.74,3.11,335.032,NA
2022 Apr,828,1820,1344,5.6,2.89,5.1,343.786,77,actual,30,665,1579,1285,5.6,1.65,3.55,345.742,NA
2022 May,839,1531,1427,5.6,2.85,5.1,353.015,69,actual,37,670,1705,1342,5.6,1.58,3.89,343.583,NA
2022 Jun,843,1551,1369,5.6,2.98,5.7,349.8,67,actual,58,679,1722,1328,5.6,1.45,4.67,345.852,NA
2022 Jul,848,1381,1421,6,2.67,5.3,346.79,55,actual,72,677,1702,1344,5.8,1.24,5.1,343.786,NA
2022 Aug,870,1531,1367,6,3.15,5.55,342.753,49,actual,78,686,1735,1427,5.8,1.3,5.1,353.015,NA
2022 Sep,889,1488,1433,6,3.83,6.7,336.464,46,actual,83,703,1712,1369,5.8,1.52,5.7,349.8,NA
2022 Oct,909,1435,1398,5.8,4.1,7.08,333.796,38,actual,85,718,1820,1421,5.6,1.55,5.3,346.79,NA
2022 Nov,919,1424,1552,5.8,3.68,6.58,330.369,33,actual,90,725,1531,1367,5.6,1.43,5.55,342.753,NA
2022 Dec,922,1308,1396,5.8,3.88,6.42,326.449,31,actual,86,742,1551,1433,5.6,1.52,6.7,336.464,NA
2023 Jan,935,1361,1390,6.4,3.52,6.13,327.338,35,actual,83,751,1381,1398,6,1.79,7.08,333.796,NA
2023 Feb,945,1399,1536,6.4,3.92,6.5,330.532,42,actual,84,769,1531,1552,6,1.83,6.58,330.369,NA
2023 Mar,958,1377,1495,6.4,3.48,6.32,331.729,44,actual,82,805,1488,1396,6,2.32,6.42,326.449,NA
2023 Apr,969,1354,1425,6.3,3.44,6.43,333.366,45,actual,83,828,1435,1390,5.8,2.89,6.13,327.338,NA
