Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9167695509583159,NA,NA,NA,NA,NA
adj_r_squared,0.9154805838271394,NA,NA,NA,NA,NA
sigma2,3897.1451558735043,42.9883848644568,37.620947111172505,37.93822481473442,34.01765566806864,34.20772953691209
statistic,711.243544373021,NA,NA,NA,NA,NA
p_value,1.8278292691026846e-239,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2550.316431187435,-1587.7552642475484,-1486.5690197712993,-1557.1867436627301,-1463.075954870616,-1465.8256000995011
AIC,3813.209411826571,3201.510528495097,3013.1380395425986,3142.3734873254602,2968.151909741232,2967.6512001990022
AICc,3813.609411826571,3202.286647898082,3014.9562213607805,3143.2709232228963,2970.156248136026,2969.1253381300367
BIC,3850.390450231919,3255.8507449925805,3096.73837261565,3200.893720476596,3055.932259467936,3042.8914999647486
CV,3963.4590139492657,NA,NA,NA,NA,NA
deviance,1761509.610454824,NA,NA,NA,NA,NA
df.residual,452,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,-4.932467477936558e-15,0.2489054093463508,0.2183127217560314,0.1663077659584482,0.16259701796699602,0.16935637114910643
RMSE,61.881893299898735,6.467900599387096,6.16020176469119,6.069665406473376,5.85145366077223,5.886757793002912
MAE,49.77442906536618,4.971223197265222,4.756847700898435,4.614852487823223,4.4878780526569715,4.5280107084439365
MPE,-5.010671730482665,0.0507831659872929,0.04530068874772422,0.05538967325199757,0.05455304908846687,0.05787596859872888
MAPE,16.75435906290929,1.4738984971885447,1.4422150367354263,1.3487524123892605,1.3389226501682934,1.3474127351670577
MASE,0.9692850284203662,0.09680738299815103,0.0926327302097558,0.08986757877104386,0.08739493526091635,0.08817646069748072
RMSSE,0.8795309805958565,0.0919286507445106,0.08755530915173268,0.08626851057986316,0.08316705423391815,0.08366883393689933
ACF1,0.9220692843192599,-0.20767552674849565,-0.1949333443742102,-0.04898271137407556,-0.04767836886882615,-0.04737309453646346
