Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9116526637828023,NA,NA,NA,NA,NA
adj_r_squared,0.9102566562127788,NA,NA,NA,NA,NA
sigma2,3941.2019900694363,40.60677904762919,35.091346432991216,35.649747636790245,31.669694336193384,31.835677648426127
statistic,653.0427795370014,NA,NA,NA,NA,NA
p_value,6.79665819410416e-229,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2502.8742286896636,-1544.5276727249234,-1441.787184182082,-1513.2901413624775,-1418.3198987800738,-1420.967394661445
AIC,3743.865900428712,3115.0553454498468,2923.574368364164,3054.580282724955,2878.6397975601476,2877.93478932289
AICc,3744.274063694018,3115.846649797673,2925.4286729999258,3055.4953154046934,2880.684045347758,2879.4380860261867
BIC,3780.869106484236,3169.1510406318826,3006.7985147980658,3112.837185228686,2966.025151315744,2952.8365211134014
CV,4014.302108647561,NA,NA,NA,NA,NA
deviance,1745952.4816007602,NA,NA,NA,NA,NA
df.residual,443,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,-3.566970336369698e-15,0.4019580698497579,0.3518652556313928,0.2531428158899548,0.23959229476381608,0.24827384470382444
RMSE,62.219703739915374,6.28453941200646,5.950006545117607,5.882093014629955,5.64626934279822,5.6797193735778775
MAE,50.15160578814237,4.857091126208552,4.642684127598095,4.5062976635825125,4.367560207157733,4.409559408572933
MPE,-5.154849500946031,0.06917470569373635,0.05989285288460876,0.0659280515685531,0.06240169876164726,0.06568033380896797
MAPE,17.04254746497412,1.4760346784230436,1.443995198928169,1.3500148175002005,1.3373178934022647,1.3453470716213496
MASE,1.0309089628800354,0.09984164408784227,0.09543432565609652,0.09263078575025321,0.08977891919348385,0.0906422485424111
RMSSE,0.9458730800652388,0.09553849171757597,0.09045287391216332,0.08942044244111391,0.08583541632526824,0.08634392860899892
ACF1,0.9210511110157221,-0.20556501102700825,-0.1918011634392644,-0.051512757270589175,-0.05033969001298741,-0.04906056196987775
