vintage,date,steps_ahead,.model,mf_underway,lower,upper,target_eoly,target_eoly_prob,target_yoy85,target_yoy85_prob
2025-08-01,2025 Aug,0,Regression,833.3598283665909,707.582257435865,959.1373992973168,769,0.8420510787953179,731,0.9446528048188663
2025-08-01,2025 Sep,1,Regression,789.4512072928046,663.8206223251411,915.0817922604681,769,0.6251615200973935,702.1,0.9135259761692972
2025-08-01,2025 Oct,2,Regression,776.0556568005408,649.9007201414692,902.2105934596124,769,0.5436445728343147,683.4,0.9250012183358919
2025-08-01,2025 Aug,0,Pure ar(1),693.8422608953172,680.9153750051202,706.7691467855142,769,0,731,8.807433338198223e-9
2025-08-01,2025 Sep,1,Pure ar(1),691.820906914701,667.4088400827455,716.2329737466565,769,2.8853874844969596e-10,702.1,0.2046036255909791
2025-08-01,2025 Oct,2,Pure ar(1),690.5679965824914,655.3437024773237,725.7922906876591,769,6.378726141842428e-6,683.4,0.6549987988408688
2025-08-01,2025 Aug,0,ar(1) + All Factors,693.2878442717255,681.1608890104876,705.4147995329633,769,0,731,5.466140873267022e-10
2025-08-01,2025 Sep,1,ar(1) + All Factors,690.899961085753,667.5255132638018,714.2744089077042,769,2.8988256239870225e-11,702.1,0.17382726773859436
2025-08-01,2025 Oct,2,ar(1) + All Factors,689.6495373043558,655.3722772580562,723.9267973506554,769,2.848677453037851e-6,683.4,0.6395863458329842
2025-08-01,2025 Aug,0,Pure ar(2),688.9681324053734,676.7485688569726,701.1876959537741,769,0,731,7.819189740132515e-12
2025-08-01,2025 Sep,1,Pure ar(2),683.8515561795595,662.7898651342017,704.9132472249172,769,1.1102230246251565e-15,702.1,0.04473507229547857
2025-08-01,2025 Oct,2,Pure ar(2),679.0650573539515,647.7470740008065,710.3830407070965,769,9.09049024944153e-9,683.4,0.3930811514174394
2025-08-01,2025 Aug,0,ar(2) + All Factors,688.5626301744804,676.95658316519,700.1686771837709,769,0,731,3.8413716652030416e-13
2025-08-01,2025 Sep,1,ar(2) + All Factors,684.2327628700804,663.7555610155632,704.7099647245975,769,2.220446049250313e-16,702.1,0.04361591860263914
2025-08-01,2025 Oct,2,ar(2) + All Factors,679.4459992730342,648.8224815992677,710.0695169468007,769,4.9704695914698505e-9,683.4,0.4001077189889958
2025-08-01,2025 Aug,0,ar(2) + Select Factors,688.6689905487594,677.0473472648707,700.2906338326482,769,0,731,4.695133171139787e-13
2025-08-01,2025 Sep,1,ar(2) + Select Factors,684.0452290177863,663.6161445495271,704.4743134860454,769,2.220446049250313e-16,702.1,0.041618583073650184
2025-08-01,2025 Oct,2,ar(2) + Select Factors,679.18629448018,648.6852849178575,709.6873040425024,769,3.929758407572592e-9,683.4,0.39328265025357045
