Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9066213470499387,NA,NA,NA,NA,NA
adj_r_squared,0.9051323935860425,NA,NA,NA,NA,NA
sigma2,3973.3550326508425,40.73721013754323,35.33183612229946,35.9197952014822,31.914262133370276,32.06213396673891
statistic,608.8983766339833,NA,NA,NA,NA,NA
p_value,1.59973637124831e-221,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2482.4556235630344,-1531.6700056386853,-1430.5121419120192,-1502.2379406475318,-1407.4501336306053,-1409.9489292495036
AIC,3714.3801984410907,3091.3400112773706,2901.0242838240383,3032.4758812950636,2856.9002672612105,2855.8978584990073
AICc,3714.792097754592,3092.263088200448,2902.8951078774903,3033.3989582181407,2858.9627672612105,2857.414488210759
BIC,3751.303225792613,3149.478269003228,2984.0789377181204,3090.614139020921,2944.1076538499965,2930.647047003681
CV,4050.2982414711773,NA,NA,NA,NA,NA
deviance,1744302.8593337198,NA,NA,NA,NA,NA
df.residual,439,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,2.7171346604837506e-14,0.011590215358181806,0.37207730167549025,0.2575889314221804,0.22960086108928296,0.24322385680597142
RMSE,62.467940042753575,6.2869975067100565,5.970595002024815,5.903568032466865,5.668196522009247,5.700219134476987
MAE,50.436469021354434,4.864622152846548,4.665526415044575,4.526351202841318,4.390183428965854,4.4274370089332855
MPE,-5.196841294547331,-0.07359376330624925,0.06159848954074386,0.06671537731926899,0.06101558448272749,0.06436473242790447
MAPE,17.172573164251418,1.482575133522337,1.4556979352034083,1.3595496926732575,1.3474282734515417,1.3547065016781765
MASE,1.0434190868887945,0.10063828224440281,0.0965194314015171,0.09364020381773853,0.09082319348696656,0.09159388773157155
RMSSE,0.9528012016339543,0.09589332984188745,0.09106735532667591,0.09004501687445564,0.08645497920327695,0.08694340868594981
ACF1,0.9213829750691827,-0.190130537378676,-0.18829226040475042,-0.05244353609148726,-0.051583559120907535,-0.05010841128843007
