.model,term,estimate,std.error,statistic,p.value
Regression,(Intercept),-91.654152988641,45.84329319773028,-1.9992925157736885,0.04618293043239249
Regression,total_starts_lag6,-0.08105022911730612,0.02378602468521733,-3.4074726731313647,7.151352348178533e-4
Regression,total_comps_lag3,0.17004931707380735,0.028965837026961174,5.870685418671892,8.482688039396338e-9
Regression,vacancy_rt_lag6,-28.003519561651796,3.2149007960824982,-8.710539247673006,5.954817610054788e-17
Regression,trs10yr_rt_lag12,-19.36245906955928,4.5611917230198795,-4.245043893208628,2.6605533794480108e-5
Regression,frm30yr_rt_lag3,12.187194487759612,4.045231600190318,3.0127309613586117,0.00273642733665286
Regression,ppi_lag3,2.5074957654750563,0.09988077883020963,25.10488799589383,2.3828517782568483e-87
Regression,hmi_lag24,2.7489754475569175,0.3281786172522694,8.376461180113367,7.148448019272983e-16
Pure ar(1),ar1,0.5967564396372756,0.03709181212769887,16.0886299537692,7.689556870664731e-47
Pure ar(1),month_1,0.3690031843072177,1.04697848219507,0.3524458148686823,0.7246596181061755
Pure ar(1),month_2,0.7198893274696658,1.7431386824060464,0.4129845403212588,0.6798035159581277
Pure ar(1),month_3,0.5979388054239657,2.255661430042673,0.2650835792376225,0.7910595908297748
Pure ar(1),month_4,1.0420290374992964,2.606856921247335,0.3997262101368816,0.6895371114402125
Pure ar(1),month_5,0.9957328071288865,2.81198568794318,0.35410308501862,0.7234181034399632
Pure ar(1),month_6,0.8546606385345094,2.879844062743863,0.2967732349091861,0.7667688215719178
Pure ar(1),month_7,1.0655178649724968,2.8133795261997023,0.3787323590897786,0.7050551335128892
Pure ar(1),month_8,-0.024527065859394348,2.60996000130447,-0.00939748725924367,0.9925059293351102
Pure ar(1),month_9,-0.26819343686537783,2.261347418824764,-0.11859895327572426,0.9056430220812048
Pure ar(1),month_10,-0.519628215339879,1.7537732247003084,-0.296291566105233,0.7671363818899164
Pure ar(1),month_11,0.05635586577512262,1.0486791934722721,0.05373985307034006,0.9571649298094015
ar(1) + All Factors,ar1,0.6402647333217963,0.03763796573048652,17.01114076957634,1.535633421850695e-50
ar(1) + All Factors,total_starts_lag6,1.1355669134421848e-4,0.0021033629602577584,0.05398815776916723,0.9569683999849232
ar(1) + All Factors,total_comps_lag3,4.4196211318084117e-4,0.0025034187157146415,0.17654342456039196,0.8599459355878984
ar(1) + All Factors,vacancy_rt_lag6,3.173103490594977,1.4647766823947455,2.1662711652450044,0.030811310332176226
ar(1) + All Factors,trs10yr_rt_lag12,0.796949441811503,0.9280788233362701,0.858708788275783,0.3909553396501726
ar(1) + All Factors,frm30yr_rt_lag3,-2.2647388485734923,1.093593177764908,-2.0709153043567614,0.03893248239183502
ar(1) + All Factors,ppi_lag3,0.16073083249502434,0.18830846561063855,0.853550752345697,0.39380506059054177
ar(1) + All Factors,hmi_lag24,0.06408875596358156,0.06915892016951958,0.9266882103782096,0.35458188042456495
ar(1) + All Factors,month_1,0.46838809426239914,1.0661971872651737,0.43930719369446847,0.6606484406047279
ar(1) + All Factors,month_2,0.7633776032719994,1.7709373704213238,0.43105849818414765,0.6666308792462818
ar(1) + All Factors,month_3,0.6778873652688289,2.297784067287486,0.2950178717485273,0.7681153866278929
ar(1) + All Factors,month_4,0.3793372477484157,2.6354643293744155,0.14393564106347043,0.8856152993415232
ar(1) + All Factors,month_5,0.580355395423691,2.8393532409318403,0.20439703910642185,0.8381350423560715
ar(1) + All Factors,month_6,0.6222924910860917,2.904815969186345,0.21422785391130966,0.8304657711775605
ar(1) + All Factors,month_7,0.6633588021333561,2.8426618589734494,0.23335832224973468,0.8155885842583581
ar(1) + All Factors,month_8,-0.5478572386994949,2.638324971956311,-0.20765343334231498,0.8355928983665822
ar(1) + All Factors,month_9,-0.6297597154312442,2.27927177137932,-0.27629865088450595,0.7824447023182253
ar(1) + All Factors,month_10,-0.6077478034528376,1.7477715491328207,-0.3477272551749567,0.7282065377742258
ar(1) + All Factors,month_11,0.07559317217836778,1.0334686030947735,0.0731451076036565,0.9417229321894138
Pure ar(2),ar1,0.39774575556711955,0.042936968419870505,9.263480171158276,6.775191281408045e-19
Pure ar(2),ar2,0.3468725172738486,0.043785924357327574,7.92200969524124,1.6602925177594473e-14
Pure ar(2),month_1,0.3019907506677208,0.8816079327837418,0.3425454098560148,0.7320913660934799
Pure ar(2),month_2,0.6019994831598984,1.3370766035294874,0.4502355972505969,0.6527451260582731
Pure ar(2),month_3,0.45031875142233024,1.737547028749282,0.25916924490180726,0.7956164675549913
Pure ar(2),month_4,0.8899439312544182,2.0131559566272887,0.4420640777107863,0.6586431921063658
Pure ar(2),month_5,0.861071793662162,2.181753827756933,0.3946695464480667,0.6932631856012867
Pure ar(2),month_6,0.7567601251042108,2.236679758450284,0.33834084751969273,0.7352552137354835
Pure ar(2),month_7,1.0201969008989078,2.1817849223879504,0.46759737425552855,0.6402860912399329
Pure ar(2),month_8,-0.004040210198603844,2.0136243701651964,-0.0020064368799193604,0.9983999348954193
Pure ar(2),month_9,-0.17024226593602432,1.7394476258513012,-0.09787145264158571,0.9220754800998668
Pure ar(2),month_10,-0.33590341781174937,1.3429787034537988,-0.25011820138911467,0.8026036257686884
Pure ar(2),month_11,0.1514728868045978,0.8811152680073865,0.17191040980046665,0.8635808711864079
ar(2) + All Factors,ar1,0.446371873138908,0.04533059280303726,9.847033659550997,7.356680055002625e-21
ar(2) + All Factors,ar2,0.3188376097032172,0.04677275447419824,6.816737934027405,2.98363855119458e-11
ar(2) + All Factors,total_starts_lag6,3.9363640261643053e-4,0.002230920528004987,0.17644573066367455,0.8600226344478819
ar(2) + All Factors,total_comps_lag3,-2.064891415743801e-5,0.002686029146982175,-0.00768752423280202,0.9938696877576632
ar(2) + All Factors,vacancy_rt_lag6,2.04767149352286,1.4619382886762244,1.4006552187486747,0.1620017986281312
ar(2) + All Factors,trs10yr_rt_lag12,-0.017082757484088176,0.8909639405870474,-0.019173343281247177,0.9847112645557246
ar(2) + All Factors,frm30yr_rt_lag3,-2.0991819787583306,1.027565349870934,-2.042869564472951,0.041643609064711234
ar(2) + All Factors,ppi_lag3,0.03675981125910164,0.17363393717560344,0.21170867779105226,0.8324295326752491
ar(2) + All Factors,hmi_lag24,0.005949947906402474,0.065367548134048,0.09102296286532006,0.9275145793472639
ar(2) + All Factors,month_1,0.33762423053138624,0.9128124322859238,0.36987251552423084,0.71165033475427
ar(2) + All Factors,month_2,0.5576480136453826,1.3940886470564373,0.40000900575643755,0.68933843531508
ar(2) + All Factors,month_3,0.46559659985690616,1.8036834285164811,0.2581365402019891,0.7964187652920965
ar(2) + All Factors,month_4,0.11105070359812047,2.0610685400465294,0.05388016043154657,0.9570543964071454
ar(2) + All Factors,month_5,0.41657014935500497,2.223100856843689,0.18738247887972223,0.8514446569160371
ar(2) + All Factors,month_6,0.5352092179530643,2.2733993342598207,0.23542243981844005,0.8139872598918501
ar(2) + All Factors,month_7,0.8362162429557843,2.2255317248404674,0.3757377320764667,0.7072877688766785
ar(2) + All Factors,month_8,-0.28079481855955224,2.06142128454165,-0.13621418419669903,0.891712473774764
ar(2) + All Factors,month_9,-0.2781709167304294,1.7800048496921868,-0.15627537013651002,0.8758855882767553
ar(2) + All Factors,month_10,-0.3608528678331778,1.3616488871757475,-0.2650116863691915,0.7911210036558541
ar(2) + All Factors,month_11,0.18075104201168157,0.8743235454401532,0.20673244241716907,0.83631170767161
