vintage,date,steps_ahead,.model,mf_underway,lower,upper,target_eoly,target_eoly_prob,target_yoy85,target_yoy85_prob
2025-04-01,2025 Apr,0,Regression,808.5097988217954,682.8746489251706,934.1449487184201,769,0.7311786816449188,781.15,0.6652494511950007
2025-04-01,2025 May,1,Regression,822.5123013118623,697.467230194165,947.5573724295596,769,0.7992009320264198,768.4,0.8018297574694083
2025-04-01,2025 Jun,2,Regression,836.510148895266,711.6777300465626,961.3425677439693,769,0.8554231955463873,760.75,0.8828812389787242
2025-04-01,2025 Apr,0,Pure ar(1),751.9295926612557,739.0901266019935,764.7690587205179,769,0.00458204204055912,781.15,4.0861155342630795e-6
2025-04-01,2025 May,1,Pure ar(1),753.3881177641008,729.1703313816937,777.6059041465079,769,0.10320391250661387,768.4,0.11219345026120942
2025-04-01,2025 Jun,2,Pure ar(1),754.1642646201432,719.2530146987586,789.0755145415277,769,0.20244683858461276,760.75,0.3557885841525169
2025-04-01,2025 Apr,0,ar(1) + All Factors,751.9026358503762,739.894373862149,763.9108978386034,769,0.00263013127787437,781.15,9.039871404770139e-7
2025-04-01,2025 May,1,ar(1) + All Factors,754.9110357771061,731.8067468315467,778.0153247226656,769,0.11600340337467208,768.4,0.1262484370491639
2025-04-01,2025 Jun,2,ar(1) + All Factors,757.3971214164787,723.5646954369513,791.2295473960062,769,0.2507330325756765,760.75,0.4229936162253749
2025-04-01,2025 Apr,0,Pure ar(2),750.5915974833152,738.5256194604248,762.6575755062057,769,0.0013936786424388892,781.15,3.4543394644703795e-7
2025-04-01,2025 May,1,Pure ar(2),752.4095239355742,731.7215848946261,773.0974629765223,769,0.05799829975920212,768.4,0.06489167744910096
2025-04-01,2025 Jun,2,Pure ar(2),753.3936906785623,722.5979743381223,784.1894070190023,769,0.16028994731532076,760.75,0.31982297010331484
2025-04-01,2025 Apr,0,ar(2) + All Factors,749.8112111072988,738.3836679536714,761.2387542609263,769,4.988519417421511e-4,781.15,3.827308736603641e-8
2025-04-01,2025 May,1,ar(2) + All Factors,752.5604508189493,732.5268586093634,772.5940430285352,769,0.0538766049479954,768.4,0.06061001415990319
2025-04-01,2025 Jun,2,ar(2) + All Factors,754.4411059402835,724.4622996074144,784.4199122731526,769,0.17058563718548003,760.75,0.33999657678051365
2025-04-01,2025 Apr,0,ar(2) + Select Factors,749.9562998668517,738.497498147256,761.4151015864475,769,5.622322879894615e-4,781.15,4.761296501509804e-8
2025-04-01,2025 May,1,ar(2) + Select Factors,752.0496199869137,732.0329989858272,772.0662409880002,769,0.04848158318167506,768.4,0.05468771487608093
2025-04-01,2025 Jun,2,ar(2) + Select Factors,753.2739192684702,723.3813910028874,783.166447534053,769,0.15123965166515363,760.75,0.3119985470210782
