vintage,date,steps_ahead,.model,mf_underway,lower,upper,target_eoly,target_eoly_prob,target_yoy85,target_yoy85_prob
2024-11-01,2024 Nov,0,Regression,812.846496744769,682.2945213030426,943.3984721864953,NA,NA,842.35,0.32890408389901415
2024-11-01,2024 Dec,1,Regression,796.9907904565428,667.4938279156277,926.4877529974578,NA,NA,837.25,0.27114859876928743
2024-11-01,2025 Jan,2,Regression,807.6589128370299,679.1819633262551,936.1358623478047,NA,NA,826.1999999999999,0.3886434487861462
2024-11-01,2024 Nov,0,Pure ar(1),791.5973877322984,778.866015388049,804.3287600765478,NA,NA,842.35,2.7755575615628914e-15
2024-11-01,2024 Dec,1,Pure ar(1),783.7959709179141,759.8094737052647,807.7824681305635,NA,NA,837.25,6.273212077245738e-6
2024-11-01,2025 Jan,2,Pure ar(1),779.5430591057557,744.9958505506994,814.090267660812,NA,NA,826.1999999999999,0.0040600703679377625
2024-11-01,2024 Nov,0,ar(1) + All Factors,791.0988988580405,779.2152579894941,802.9825397265868,NA,NA,842.35,0
2024-11-01,2024 Dec,1,ar(1) + All Factors,782.2003691091746,759.3711916578045,805.0295465605448,NA,NA,837.25,1.1433041566810687e-6
2024-11-01,2025 Jan,2,ar(1) + All Factors,777.0773571830541,743.6891828094775,810.4655315566307,NA,NA,826.1999999999999,0.0019653702173769716
2024-11-01,2024 Nov,0,Pure ar(2),784.0668460402997,772.0874685583437,796.0462235222556,NA,NA,842.35,0
2024-11-01,2024 Dec,1,Pure ar(2),768.219461835174,747.631329953468,788.80759371688,NA,NA,837.25,2.4865332015622243e-11
2024-11-01,2025 Jan,2,Pure ar(2),755.1951497423713,724.4792760244476,785.911023460295,NA,NA,826.1999999999999,2.9371201667460767e-6
2024-11-01,2024 Nov,0,ar(2) + All Factors,784.6546884301607,773.3209944139599,795.9883824463616,NA,NA,842.35,0
2024-11-01,2024 Dec,1,ar(2) + All Factors,768.7782045311183,748.8489691817246,788.707439880512,NA,NA,837.25,8.249512184477226e-12
2024-11-01,2025 Jan,2,ar(2) + All Factors,754.580755250732,724.6995742452586,784.4619362562053,NA,NA,826.1999999999999,1.3153445124203245e-6
2024-11-01,2024 Nov,0,ar(2) + Select Factors,784.1004946340016,772.7510299153814,795.4499593526218,NA,NA,842.35,0
2024-11-01,2024 Dec,1,ar(2) + Select Factors,768.0268244168204,748.1282884467204,787.9253603869205,NA,NA,837.25,4.600986258651574e-12
2024-11-01,2025 Jan,2,ar(2) + Select Factors,755.6026878057539,725.8238808242262,785.3814947872817,NA,NA,826.1999999999999,1.687108160619566e-6
