Statistic,Regression,Pure ar(1),ar(1) + All Factors,Pure ar(2),ar(2) + All Factors,ar(2) + Select Factors
r_squared,0.9164004056030959,NA,NA,NA,NA,NA
adj_r_squared,0.9151114250727471,NA,NA,NA,NA,NA
sigma2,3934.884117102488,43.529494184115734,38.26236109780294,38.77374342697766,34.933504014470515,35.05574792624338
statistic,710.9497653584865,NA,NA,NA,NA,NA
p_value,4.195814934182194e-240,NA,NA,NA,NA,NA
df,8,NA,NA,NA,NA,NA
log_lik,-2563.648645522208,-1597.394195801497,-1496.9409495557568,-1568.94848158771,-1475.5723373815388,-1477.8496032643855
AIC,3834.1980863632975,3220.788391602994,3033.8818991115136,3165.89696317542,2993.1446747630775,2991.699206528771
AICc,3834.596316451793,3221.561215382187,3035.6922439390996,3166.7905801966963,2995.14035510865,2993.167017687569
BIC,3871.418170383033,3275.1823271851813,3117.5648769302634,3224.4750476485447,3081.0118014727645,3067.0138865656454
CV,4003.0294504265826,NA,NA,NA,NA,NA
deviance,1786437.3891645295,NA,NA,NA,NA,NA
df.residual,454,NA,NA,NA,NA,NA
rank,8,NA,NA,NA,NA,NA
ME,-9.187786414313387e-15,0.1974730254942593,0.1738555804244402,0.10659886322253788,0.10854047477934844,0.11607584397684508
RMSE,62.183177754069625,6.508849744626224,6.212377721248409,6.136514019857891,5.929615919233674,5.959112130160913
MAE,49.93845783918778,5.00313623511722,4.7835231937147364,4.663737605609969,4.53833948965622,4.574142767353722
MPE,-4.975775657331058,0.04378059804473739,0.04153227286736533,0.046764275660495486,0.048584618517881956,0.051642609360440475
MAPE,16.732433667409843,1.4776244223437627,1.4440687387598656,1.3556394391442719,1.3458124814637609,1.3539350806907904
MASE,0.9617205954485437,0.09635097612828841,0.09212164278311401,0.08981479807659062,0.08739986665977525,0.088089370321605
RMSSE,0.8726432996945893,0.09134149015076971,0.08718097063260119,0.08611634265603992,0.0832128525522804,0.08362678557664002
ACF1,0.918749450853688,-0.20078494282049542,-0.1861562138212137,-0.04442962940395667,-0.04359438993223042,-0.04352507752608023
